ID,State,Week,Original FICO Score,Latest FICO Score,"Dlq 
Days", Purchase Price , Down Payment ," Original
Principal
Balance "," Current
Principal 
Balance ", Total Amount Due ," Total
NSF
Due ", Total Late Charges Due , Payoff Amount ," Current 
Payment 
Amount  ","Current 
Rate","Current 
Term",Term Paid," Total Maintenance
Fee
Balance Due ","Payment
Type","Payment
Due Day",Times Late,Times DLQ,Times Defaulted,
1,NY,21,669,690,-15,14850,3124,11726.11,3480.19, -   , -   , -   ,3500.14,174.39,12.9,120,70, -   ,COUPON,15,13,0,0,
2,MD,46,592,512,554,9500,950,8550,1705.58,2009.72, -   ,131.64,1991.64,169.33,15.9,84,64,-241,COUPON,25,8,8,8,
3,NC,30,781,787,-25,24550,18500,6050,3295.55, -   , -   , -   ,3300.99,128.25,9.9,60,31, -   ,AUTO DEBIT,25,0,0,0,
4,CA,46,680,667,-15,17900,1790,16110,13985.06, -   , -   , -   ,14077.67,258.92,14.9,120,30, -   ,AUTO DEBIT,15,0,0,0,
5,TX,42,757,747,-5,16100,4830,11270,10185.78, -   , -   , -   ,10273.32,161.04,11.9,120,20, -   ,AUTO DEBIT,5,0,0,0,
6,SC,7,703,685,-15,9810,981,8829,5856.24, -   , -   , -   ,5895.02,157.93,14.9,96,46, -   ,AUTO DEBIT,15,1,0,0,
7,WV,43,600,651,-20,21400,2249,19151.31,17207.62, -   , -   , -   ,17285.96,307.81,14.9,120,24, -   ,AUTO DEBIT,20,0,0,0,
8,SC,16,517,528,128,10800,1080,9720,7801,1074.94,120,135.59,8499.62,173.87,14.9,96,30,579.79,COUPON,25,14,12,1,
9,VA,44,611,668,720,20400,4081,16318.67,14445.61,7829.68, -   ,511.84,18580.21,304.91,13.9,84,14,2554.84,COUPON,10,14,13,10,
10,NC,4,593,609,-25,5200,520,4680,3370.13,60,60, -   ,3437.38,106.24,12.9,60,19,779.65,COUPON,25,7,5,0,
11,NC,15,681,602,-20,14900,1597,13303.16,11334.46,11.96, -   ,11.96,11398.03,213.81,14.9,120,33,991.21,AUTO DEBIT,20,0,0,0,
12,NJ,17,728,608,-10,9800,980,8820,6793.94, -   , -   , -   ,6852.99,157.77,14.9,96,34, -   ,AUTO DEBIT,10,0,0,0,
13,NC,6,537,647,-5,6750,675,6075,5000.98, -   , -   , -   ,5051.19,113.51,13.9,84,22, -   ,AUTO DEBIT,5,0,0,0,
14,WV,52,589,653,-1,16600,2979,13620.99,11273.09, -   , -   , -   ,11583.36,227.32,15.9,120,37,-0.06,COUPON,1,8,0,0,
15,TN,24,610,682,-10,23200,2433,20766.9,15549.1, -   , -   , -   ,15684.25,333.77,14.9,120,50, -   ,AUTO DEBIT,10,0,0,0,
16,KY,44,1,678,-15,20400,4941,15458.6,13040.14, -   , -   , -   ,13114.9,229.9,12.9,120,32, -   ,AUTO DEBIT,15,1,0,0,
17,PA,35,1,694,-15,12600,1890,10710,9511.88, -   , -   , -   ,9570.64,165.65,13.9,120,25, -   ,AUTO DEBIT,1,0,0,0,
18,NC,20,780,736,-10,19400,3324,16076.2,13117.19, -   , -   , -   ,13223.55,248.64,13.9,120,38, -   ,AUTO DEBIT,10,0,0,0,
19,MD,32,780,787,-15,24200,11100,13100,10471.87, -   , -   , -   ,10527.26,187.19,11.9,120,38, -   ,AUTO DEBIT,15,0,0,0,
20,PA,38,650,537,-15,17900,2007,15892.63,13093.19,30,30, -   ,13209.89,255.43,14.9,120,37, -   ,AUTO DEBIT,15,1,0,0,
21,TN,47,640,486,20,9700,1000,8700,6406.52,414.12, -   ,258.5,6799.59,155.62,14.9,96,38,1106.43,AUTO DEBIT,10,14,12,0,
22,GA,52,661,676,112,14900,1490,13410,11277.07,1003.84,90,51.72,12068.56,215.53,14.9,120,35,803.88,COUPON,10,4,3,0,
23,MD,6,604,643,-25,7500,750,6750,4970.56, -   , -   , -   ,4982.91,120.74,14.9,96,38, -   ,AUTO DEBIT,25,0,0,0,
24,TN,13,672,779,-15,14900,1490,13410,12049.04,12.93, -   ,12.93,12128.83,215.53,14.9,120,24,721.63,COUPON,15,11,0,0,
25,WV,33,596,616,360,16400,1640,14760,12742.1,3924.55, -   ,471.25,15509.03,290.22,17.9,96,24,1684.76,COUPON,5,14,13,8,
26,NC,1,463,610,25,9800,2997,6802.69,5419.89,123.09, -   ,6.97,5518.23,116.12,10.9,84,23,777.74,COUPON,5,3,0,0,
27,NC,20,602,644,-25,19400,2041,17358.71,15069.04, -   , -   , -   ,15106.46,278.99,14.9,120,29,-200,AUTO DEBIT,25,0,0,0,
28,NC,22,570,594,-1,12000,1200,10800,9375.32, -   , -   , -   ,9617.8,173.58,14.9,120,30, -   ,AUTO DEBIT,1,0,0,0,
29,NC,18,681,676,-25,16050,9450,6600,4090.91, -   , -   , -   ,4099.03,94.31,11.9,120,63,721.63,AUTO DEBIT,25,0,0,0,
30,NC,35,645,529,25,14900,1490,13410,11540.77,295.98, -   ,80.45,11887.93,215.53,14.9,120,28,536.77,COUPON,5,14,11,3,
31,WV,37,643,659,-20,16100,1793,14307.09,11786.74, -   , -   , -   ,11840.4,229.95,14.9,120,38, -   ,AUTO DEBIT,20,0,0,0,
32,PA,4,601,619,-15,6200,620,5580,3807.04, -   , -   , -   ,3832.25,99.81,14.9,96,43,595.54,COUPON,15,6,2,0,
33,OH,14,696,499,67,16950,1695,15255,13780.99,764.96,30,44.13,14354.63,245.18,14.9,120,23,1430.71,COUPON,25,4,3,0,
34,OH,9,757,808,-5,10150,1015,9135,7179.72, -   , -   , -   ,7251.8,170.69,13.9,84,26, -   ,AUTO DEBIT,5,0,0,0,
35,KY,9,666,,-20,7500,750,6750,4730.02, -   , -   , -   ,4751.55,120.74,14.9,96,42, -   ,AUTO DEBIT,20,0,0,0,
36,GA,2,722,768,-5,5200,520,4680,3968.34, -   , -   , -   ,4011.04,83.71,14.9,96,24, -   ,AUTO DEBIT,5,0,0,0,
37,VA,3,737,698,-15,7500,1500,6000,4166.66, -   , -   , -   ,4186.85,130.16,10.9,60,22, -   ,AUTO DEBIT,15,0,0,0,
38,GA,4,764,787,-25,6200,620,5580,3592.9, -   , -   , -   ,3601.82,99.81,14.9,96,48,363.32,AUTO DEBIT,25,0,0,0,
39,VA,44,524,657,1213,12600,1260,11340,10683.65,9174.52, -   ,255.72,16506.06,222.97,17.9,96,10,1586.39,COUPON,5,14,13,10,
40,NC,20,785,807,-5,16050,4815,11235,7154.47, -   , -   , -   ,7226.29,173.77,13.9,120,60, -   ,AUTO DEBIT,5,5,0,0,
41,CT,32,1,742,-13,24200,3795,20404.66,17692.12, -   , -   , -   ,17815.08,315.59,13.9,120,29, -   ,AUTO DEBIT,13,0,0,0,
42,SC,33,774,756,-1,13200,4575,8625,4649.94, -   , -   , -   ,4761.59,128.77,12.9,120,72, -   ,COUPON,1,14,0,0,
43,SC,5,645,541,117,6200,620,5580,3599.58,453.2,30,23.96,3864.5,99.81,14.9,96,41,623.14,COUPON,5,14,11,1,
44,VA,36,1,599,-20,14900,5492,9407.71,6026.83,10.81, -   ,10.81,6055.87,199.42,9.9,60,25, -   ,COUPON,20,13,0,0,
45,WV,30,728,722,-25,24200,2687,21512.62,19116.48, -   , -   , -   ,19163.95,345.76,14.9,120,26,332.38,AUTO DEBIT,25,0,0,0,
46,OH,24,771,731,-25,11600,1160,10440,5456.13, -   , -   , -   ,5468.77,195.07,13.9,84,50,3.87,AUTO DEBIT,25,0,0,0,
47,FL,19,798,797,-20,17900,9835,8065.07,6598.09, -   , -   , -   ,6622.08,115.24,11.9,120,35, -   ,AUTO DEBIT,20,0,0,0,
48,SC,25,696,728,-10,34500,19400,15100,11977.78, -   , -   , -   ,12060.93,215.77,11.9,120,37,-141.17,AUTO DEBIT,10,0,0,0,
49,PA,40,817,829,-25,16750,5025,11725,6581.09, -   , -   , -   ,6591.94,248.55,9.9,60,30, -   ,AUTO DEBIT,25,0,0,0,
50,NJ,10,642,550,-1,14900,2152,12748.1,11454.37, -   , -   , -   ,11749.41,204.89,14.9,120,24,732.38,AUTO DEBIT,1,0,0,0,
51,CA,48,753,488,-25,6900,690,6210,5287.47, -   , -   , -   ,5300.6,111.08,14.9,96,24,232.77,AUTO DEBIT,25,0,0,0,
52,WV,20,500,615,-1,15300,1530,13769.99,11423.59, -   , -   , -   ,11720.7,221.32,14.9,120,37,732.38,AUTO DEBIT,1,0,0,0,
53,MA,40,717,774,-10,16900,2205,14695.18,11293.92, -   , -   , -   ,11392.08,236.19,14.9,120,47, -   ,AUTO DEBIT,10,0,0,0,
54,OH,36,1,526,-28,16750,2132,14618.36,13263.63, -   , -   , -   ,13280.1,234.95,14.9,120,22,1304.02,AUTO DEBIT,28,0,0,0,
55,SC,41,1,792,-15,20400,3524,16876.17,14354.78, -   , -   , -   ,14443.46,261.02,13.9,120,32,-395,AUTO DEBIT,15,1,0,0,
56,NC,1,602,551,-25,6200,620,5580,3640.27, -   , -   , -   ,3648.71,104.26,13.9,84,39, -   ,AUTO DEBIT,25,0,0,0,
57,NC,22,586,666,-25,19400,1940,17460,14584.82, -   , -   , -   ,14621.03,280.62,14.9,120,36,721.63,AUTO DEBIT,25,3,1,0,
58,PA,52,477,565,314,15650,1565,14085,7167.54,3093.03, -   ,597.85,8677.26,226.38,14.9,120,77,3567.84,COUPON,20,13,10,7,
59,NC,40,710,772,-5,11200,1120,10080,5964.92, -   , -   , -   ,6024.8,155.9,13.9,120,69,732.38,AUTO DEBIT,5,0,0,0,
60,SC,10,680,675,25,7500,750,6750,4607.01,129.18, -   ,14.48,4721.54,120.74,14.9,96,38, -   ,COUPON,5,11,2,0,
61,NC,4,662,696,-10,6750,675,6075,4598.09,43.62,30,13.62,4678.99,113.51,13.9,84,28, -   ,AUTO DEBIT,10,2,1,0,
62,OH,39,500,659,-5,19400,2910,16490,8187.14, -   , -   , -   ,8104.23,317.23,14.9,84,49, -   ,COUPON,5,14,1,0,
63,NC,8,771,783,-5,7700,770,6930,5201.25,8.18, -   ,8.18,5276.68,136.26,17.9,96,37,363.32,COUPON,5,13,0,0,
64,NC,32,804,776,-1,24550,3817,20733.2,16828.56, -   , -   , -   ,17222.68,398.92,12.9,84,20, -   ,AUTO DEBIT,1,0,0,0,
65,PA,23,674,766,5,16400,1640,14760,11483.28,264.02, -   ,205.92,12385.09,264.02,14.9,96,35,1302.45,COUPON,25,15,11,5,
66,NY,43,695,589,-15,9700,970,8730,6117.35, -   , -   , -   ,6157.86,156.16,14.9,96,42,368.69,AUTO DEBIT,15,0,0,0,
67,CT,21,758,796,-10,19400,2754,16646.27,12638, -   , -   , -   ,12740.47,257.46,13.9,120,47,721.63,AUTO DEBIT,10,0,0,0,
68,VA,44,645,693,-25,16900,2716,14183.72,11401.37, -   , -   , -   ,11427.79,219.37,13.9,120,40, -   ,AUTO DEBIT,25,0,0,0,
69,FL,35,790,812,-36,16900,8925,7975, -   , -   , -   , -   , -   ,113.96,11.9,120,59, -   ,COUPON,5,1,0,0,
